"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415673_at","Psph","100678","phosphoserine phosphatase",-0.02109966247943,6.73610339199263,-0.113927861870809,0.910801679813727,0.963714754592273,-5.94743558250557
"2","1415685_at","Mtif2","76784","mitochondrial translational initiation factor 2",-0.10982104299895,8.31808923681768,-0.875362471454669,0.395139626827564,0.696372613946108,-5.58230065524964
"3","1415698_at","Golm1","105348","golgi membrane protein 1",0.286143706374925,6.64922925793604,0.810207080393447,0.430452945965124,0.713579899778959,-5.63436379892569
"4","1415743_at","Hdac5","15184","histone deacetylase 5",0.255702473111721,7.3560006035339,1.5040299838933,0.153278161871212,0.487302393996394,-4.90943704422931
"5","1415750_at","Tbl3","213773","transducin (beta)-like 3",0.381948963662198,7.09153292040754,2.92029633432916,0.0105264998804912,0.191905007444843,-2.64619819332326
"6","1415773_at","Ncl","17975","nucleolin",-0.146090407795375,6.61215924358086,-0.580815285192389,0.569965313841134,0.800287362794969,-5.78786801813311
"7","1415776_at","Aldh3a2","11671","aldehyde dehydrogenase family 3, subfamily A2",0.136885423670329,8.13223458133501,0.427026537982578,0.675409162388311,0.854134047105998,-5.86366292099926
"8","1415794_a_at","Spin1","20729","spindlin 1",-0.126019393829864,9.5026179958176,-0.759341172191414,0.45938356040633,0.733734298007901,-5.67245602744132
"9","1415822_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",-0.272757005617382,5.28926834887896,-1.09602307884372,0.290306500712494,0.617352454130051,-5.37981541710143
"10","1415834_at","Dusp6","67603","dual specificity phosphatase 6",0.221850735398043,8.92541668372683,1.12407285089482,0.278600995934818,0.608244648367096,-5.35130444567443
"11","1415849_s_at","Stmn1","16765","stathmin 1",-0.212491111812217,7.28809991114493,-0.861938303096891,0.402253631184772,0.698403486245047,-5.59332419461752
"12","1415855_at","Kitl","17311","kit ligand",0.218279471958297,4.32776981591156,0.88068622593352,0.392341699894379,0.694538062610133,-5.57788664584747
"13","1415859_at","Eif3c","56347","eukaryotic translation initiation factor 3, subunit C",0.416644247303052,6.87619957694504,0.988915641236917,0.338345743797633,0.656892614651011,-5.48302710342052
"14","1415865_s_at","Bpgm","12183","2,3-bisphosphoglycerate mutase",0.0952902736030463,6.95007507516245,0.512356595994223,0.615841764055675,0.823469953699332,-5.8243622919174
"15","1415890_at","Papss1","23971","3'-phosphoadenosine 5'-phosphosulfate synthase 1",0.127707132680914,8.19721475430134,0.772117625722677,0.452005711577902,0.728168448839762,-5.66310103403287
"16","1415899_at","Junb","16477","jun B proto-oncogene",-0.511173695994476,5.59878342252518,-1.31106934034549,0.209496737359814,0.544705195677002,-5.14630393183375
"17","1415908_at","Tspyl1","22110","testis-specific protein, Y-encoded-like 1",-0.374417455358968,7.74598146346895,-2.17314001181105,0.0461518875849373,0.318355101072473,-3.92841007869369
"18","1415919_at","Npdc1","18146","neural proliferation, differentiation and control 1",-0.0828198280884322,5.08169928944981,-0.450101530467195,0.659056017123435,0.84756978778712,-5.85371875107584
"19","1415925_a_at","Nup62","18226","nucleoporin 62",0.472470626432299,6.97241326345219,2.84275112398085,0.012319337360905,0.198083936851282,-2.78455701386155
"20","1415935_at","Smoc2","64074","SPARC related modular calcium binding 2",0.224538176628354,5.77614443061214,0.716452644558156,0.48468757682938,0.748268608288599,-5.70280380249841
"21","1415938_at","Spink1","20730","serine peptidase inhibitor, Kazal type 1",-0.839739176327302,3.80085113978095,-1.86314134801873,0.0820852567014083,0.389164245192125,-4.40970479846341
