"","BothControl1","BothControl2","BothControl3","AdultIUGR1","AdultIUGR2","AdultIUGR3","AdultLact1","AdultLact2","AdultLact3","OffIUGR1","OffIUGR2","OffIUGR3","OffLact1","OffLact2","OffLact3"
"1436530_at",7.62197436692668,7.66087825751195,7.93518123247449,7.63536927719676,7.55858400446191,7.63843349502163,7.63331719007516,7.36549478943488,7.37523611065266,7.12304685449892,7.81593236567699,7.47725717578417,8.19192478225257,7.89711692389658,7.85487095253425
"1428670_at",4.44773387422175,3.67773313636525,3.7190181512024,4.09079291143619,3.71100156053341,4.19004411646833,3.82674996754371,3.81247480992326,3.57394122207257,4.30027998491763,3.84124415659812,3.423246159672,4.32974633066463,4.16564517525953,4.72076498347636
"1449372_at",10.8821601147727,10.6931152386948,10.8620946430201,10.7792825529628,10.88430806791,10.4296532338483,10.2327758769786,10.3267134125556,10.9526716761285,10.8904785129029,11.0056002647517,10.3609618331502,10.5698758595914,10.3823885279984,10.057971815558
"1434273_at",5.54731230250636,5.3793062800947,5.05075564054549,5.60843885808365,5.84635250761203,5.61951672484369,5.71618786743204,5.83977488267615,5.83029773404663,5.43483763921028,5.77086165603044,5.5988182902002,5.60901653865963,5.70403009180876,6.06510286849512
"1456884_at",5.14218276546393,4.98305464297304,4.67010026028036,4.7820732239589,4.94591273772741,5.21098380643023,5.31462194280928,4.96166042669276,5.10967631868035,4.8564041648262,4.84090740454103,4.87667574992894,4.51710748279166,4.70674196068189,4.55230716035667
"1446929_at",4.5526816616051,4.36793265398116,4.22330764218641,4.60947137515408,4.18512667246382,5.02330615796162,4.41459838745322,4.38873657291271,4.17778590989211,4.60428161820388,4.78642989388217,4.5526816616051,4.43880324966483,5.01856059417913,4.82528994309967
"1426113_x_at",5.30054079475227,5.25818763675223,4.96329365822105,5.19380707671258,5.25000139271031,5.35932537749427,5.46696838672832,5.74214545388984,5.30054079475227,5.09272524574868,5.55838644200964,5.09845667174675,5.30054079475227,5.46755941395568,5.35531028410211
"1430893_at",10.87633757532,11.1944058910079,11.0593331659292,11.2169956940838,11.0558164452917,11.0556632706425,10.9717089243588,10.6942157950854,10.7240081410872,11.0286099055545,11.176748810439,10.7987320755697,11.4636204151541,11.351396964614,11.2982100991525
"1436221_at",6.79396914272305,5.5739511309985,7.17191761080558,6.49873141736421,6.7204791736596,5.87074440927692,5.57080195759587,5.56256216506491,6.52946772686782,6.58809701964212,7.19213908140572,6.77297315861622,6.09039257108108,6.77774731773724,5.50876869976531
"1457324_at",6.58097322803596,6.53171236632002,6.54723482645149,6.5147181744396,5.83466810316416,6.54413506704272,6.06775461370194,5.2942019827588,6.51811354084214,6.26125662628681,6.30112460679555,6.11593302691881,6.45061627763393,6.53910545232563,5.80846727566792
"1436040_at",6.38752350670339,6.50091938090949,6.42799642182708,6.2812071118025,6.00299234107684,6.52604179078233,6.1165273079829,6.87596026439062,5.72770925875269,6.08025596906636,6.01955065122786,6.44319892260926,6.09787055969843,6.28017971303355,6.40934719864166
"1440573_at",3.60553557218915,4.16481786585798,4.01965734615052,4.74830509023042,3.9468454433897,4.16481786585798,4.51118011292619,4.10038733950246,4.79865509062718,4.73251958168284,3.56122402608286,4.11564971073846,3.48218739114998,4.50275735469351,4.36027551539398
"1446731_at",3.94970460028882,4.0287785597389,4.07076806196895,3.71497926451257,3.53933870438294,4.12125874074689,3.4449918442989,3.71696209115177,3.94533366736155,4.04067860445556,4.11951943048574,3.94872971714222,3.94970460028882,4.14436987417064,3.98061042800387
"1440097_at",4.94422210078868,5.23951789476808,5.09000539988698,4.89639058405599,5.21794958459744,5.04359701607669,4.77526886387489,5.23951789476808,4.86016922393327,5.14508422171206,5.38948279343484,5.1099779178345,5.42727488037782,5.31493415229468,5.50128041522436
"1457869_at",4.75979790326231,4.69804182311919,4.40617814232203,4.61651432784872,4.40784071384641,4.33132742868594,4.42331865660322,4.69824854337929,4.59428634686502,4.56638295851644,4.27220375668531,4.56638295851644,4.3143608536552,4.91349964832288,4.53101012249696
"1430459_at",3.76588007918553,4.10322817827726,3.6677806877687,4.10322817827726,4.03173769240872,4.20931353565509,4.2180693661564,4.38507602369044,4.10435310929717,4.09148242048219,4.08982241702539,3.83830258364241,4.26602935639962,4.17482840466806,4.09342806593748
"1456331_at",5.52529798002015,5.72674922906388,5.92313004812604,5.92955312771372,5.67013570108832,5.58070587876802,5.87491485495038,5.88891375126217,5.62705992113221,5.84001012067501,5.56160062396496,5.64207187302994,5.26436984365162,5.25436848052536,5.46023810785722
"1442593_at",6.15626445969178,6.04062248937956,6.27835850992839,6.18462715340381,5.33271380892234,6.056146571865,6.27341328075256,4.66006231403677,6.13367023587149,6.75472723676747,6.36506553720261,5.82367218718761,5.84377621107861,5.82158568219054,6.1238395311349
"1424607_a_at",9.31551273103862,8.67644429348935,9.21526118741868,9.41827558156415,8.41497782661496,9.38482979592836,8.02107991340102,8.47257898796417,8.8999600196892,9.7825063797171,9.74868627609321,9.07971054099039,9.45719939298952,9.60849432242145,9.02897371931893
"1445512_at",5.94274518592628,5.78117763067911,5.54785027688609,5.89738669587801,5.3277379794565,5.78588544790262,5.06212615451412,5.1677981298895,5.64384198748428,6.31755915464545,5.9113745525138,5.59425278281713,5.757476191904,6.07521282936757,5.89920936132514
"1429560_at",5.69910952690214,5.86909550316212,5.77240713318482,5.27434537145943,5.39129412321809,5.40345945861219,5.52191164448762,5.19745250971591,5.52191164448762,5.98231465544749,5.69238660013385,5.23469169870445,5.52191164448762,5.50716293627069,5.16463405248577
