FileName;Group;Genotype;Treatment;ShortName
GSM1333830;BothControl;Both;Control;BothControl1
GSM1333831;BothControl;Both;Control;BothControl2
GSM1333832;BothControl;Both;Control;BothControl3
GSM1333833;AdultIUGR;Adult;IUGR;AdultIUGR1
GSM1333834;AdultIUGR;Adult;IUGR;AdultIUGR2
GSM1333835;AdultIUGR;Adult;IUGR;AdultIUGR3
GSM1333836;AdultLact;Adult;lactation;AdultLact1
GSM1333837;AdultLact;Adult;lactation;AdultLact2
GSM1333838;AdultLact;Adult;lactation;AdultLact3
GSM1333839;OffIUGR;Offspring;IUGR;OffIUGR1
GSM1333840;OffIUGR;Offspring;IUGR;OffIUGR2
GSM1333841;OffIUGR;Offspring;IUGR;OffIUGR3
GSM1333842;OffLact;Offspring;lactation;OffLact1
GSM1333843;OffLact;Offspring;lactation;OffLact2
GSM1333844;OffLact;Offspring;lactation;OffLact3
